DATE;MARKET GAS PRICE
05/18/2022;71$26
05/19/2022;71$14
05/20/2022;71$49
05/23/2022;69$89
05/24/2022;70$34
05/25/2022;71$92
05/26/2022;72$46
05/27/2022;72$5
05/30/2022;73$18
05/31/2022;76$1
06/01/2022;76$04
06/02/2022;78$76
06/03/2022;78$94
06/06/2022;78$41
06/07/2022;77$29
06/08/2022;77$24
06/09/2022;76$59
06/10/2022;76$2
06/13/2022;76$68
06/14/2022;77$73
06/15/2022;81$36
06/16/2022;80$19
06/17/2022;77$93
06/20/2022;79$65
06/21/2022;82$95
06/22/2022;85$6
06/23/2022;87$98
06/24/2022;85$88
06/27/2022;86$07
06/28/2022;86$41
06/29/2022;91$96
06/30/2022;92$8
07/01/2022;93$77
07/04/2022;103$89
07/05/2022;107$31
07/06/2022;118$29
07/07/2022;128$34
07/08/2022;126$17
07/11/2022;124$21
07/12/2022;127$66
07/13/2022;130$08
07/14/2022;125$74
07/15/2022;115$35
07/18/2022;115$87
07/19/2022;114$54
07/20/2022;117$45
07/21/2022;116$24
07/22/2022;120$24
07/25/2022;124$36
07/26/2022;132$99
07/27/2022;128$75
07/28/2022;130$72
07/29/2022;133$68
08/01/2022;140$96
08/02/2022;145$05
08/03/2022;147$24
08/04/2022;148$41
08/05/2022;150$24
08/08/2022;152$48
08/09/2022;157$71
08/10/2022;170$25
08/11/2022;183$75
08/12/2022;182$9
08/15/2022;190$89
08/16/2022;198$93
08/17/2022;199$73
08/31/2022;174$79
09/01/2022;175$26
09/02/2022;163$57
09/05/2022;187$61
09/06/2022;194$53
09/07/2022;190$64
09/08/2022;194$98
09/09/2022;181$17
09/12/2022;167$36
09/13/2022;167$87
09/14/2022;181$89
09/15/2022;191$44
09/16/2022;168$15
09/19/2022;165$45
09/20/2022;174$18
09/21/2022;176$47
09/22/2022;173$96
09/23/2022;172,00
09/26/2022;171$17
09/27/2022;178$72
09/28/2022;198$34
09/29/2022;181$35
09/30/2022;175$84
10/03/2022;164$7
10/04/2022;157$82
10/05/2022;175,00
10/06/2022;173$73
10/07/2022;164$41
10/10/2022;168$99
10/11/2022;170$84
10/12/2022;164$98
10/13/2022;155$49
10/14/2022;156$32
10/17/2022;152$72
10/18/2022;141$93
10/19/2022;137$37
10/20/2022;152$14
10/21/2022;146$2
10/24/2022;139$95
10/25/2022;140$75
10/26/2022;137,00
10/27/2022;138$5
10/28/2022;146,00
10/31/2022;135$65
11/01/2022;126$15
11/02/2022;127,00
11/03/2022;135,00
11/04/2022;125$5
11/07/2022;123$57
11/08/2022;127,00
11/09/2022;122$23
11/10/2022;121$75
11/11/2022;113,00
11/14/2022;117,00
11/15/2022;129,00
11/16/2022;129,00
11/17/2022;123,00
11/18/2022;124$75
11/21/2022;127$5
11/22/2022;131$57
11/23/2022;137$8
11/24/2022;133$5
11/25/2022;130$75
11/28/2022;131,00
11/29/2022;136$5
11/30/2022;140,00
12/01/2022;141$96
12/02/2022;139$5
12/05/2022;141$9
12/06/2022;138,00
12/07/2022;145$8
12/08/2022;149,00
12/09/2022;138$14
12/12/2022;136$2
12/13/2022;143$44
12/14/2022;136$9
12/15/2022;134$83
12/16/2022;124$77
12/19/2022;112$52
12/20/2022;109$25
12/21/2022;105,00
12/22/2022;98$5
12/23/2022;93$23
12/26/2022;92$38
12/27/2022;88$55
12/28/2022;90$12
12/29/2022;91$63
12/30/2022;89$5
01/02/2023;85$88
01/03/2023;84,00
01/04/2023;78,00
01/05/2023;75$94
01/06/2023;78$6
01/09/2023;81$75
01/10/2023;80$85
01/11/2023;74$88
01/12/2023;76,00
01/13/2023;77$9
01/16/2023;66$5
01/17/2023;65$05
01/18/2023;68,00
01/19/2023;69$86
01/20/2023;69,00
01/23/2023;74$8
01/24/2023;68$43
01/25/2023;68,00
01/26/2023;66$64
01/27/2023;63$74
01/30/2023;66$24
01/31/2023;67$5
02/01/2023;68$87
02/02/2023;66$82
02/03/2023;68$05
02/06/2023;66$59
02/07/2023;66$09
02/08/2023;64,00
02/09/2023;65$15
02/10/2023;63$5
02/13/2023;61$11
02/14/2023;61$4
02/15/2023;61$43
02/16/2023;60$3
02/17/2023;58$4
02/20/2023;59$18
02/21/2023;55$76
02/22/2023;57$19
02/23/2023;56$75
02/24/2023;59$35
02/27/2023;57$05
02/28/2023;55$93
03/01/2023;54$55
03/02/2023;54$37
03/03/2023;53$03
03/06/2023;51$2
03/07/2023;50$15
03/08/2023;52$35
03/09/2023;49,00
03/10/2023;55$05
03/13/2023;49$585
03/14/2023;44$185
03/15/2023;42$905
03/16/2023;44$34
03/17/2023;42$855
03/20/2023;39$325
03/21/2023;42$4
03/22/2023;39$975
03/23/2023;43$185
03/24/2023;41$095
03/27/2023;42$53
03/28/2023;42$75
03/29/2023;42$805
03/30/2023;43$609
03/31/2023;47$845
04/03/2023;51$365
04/04/2023;46$57
04/05/2023;44$575
04/06/2023;43$125
04/10/2023;43$125
04/11/2023;43$69
04/12/2023;42$88
04/13/2023;42$095
04/14/2023;41$15
04/17/2023;41$125
04/18/2023;42$72
04/19/2023;40$3
04/20/2023;40$565
04/21/2023;40$164
